codice_giornata;data;squadra_casa;squadra_fuori;id_squadra_casa;id_squadra_fuori;risultato
1;2022-11-20 17:00:00;QATAR;ECUADOR;25;12; - 
1;2022-11-23 20:00:00;BELGIO;CANADA;4;7; - 
1;2022-11-23 14:00:00;GERMANIA;GIAPPONE;15;17; - 
1;2022-11-24 11:00:00;SVIZZERA;CAMERUN;30;8; - 
1;2022-11-24 14:00:00;URUGUAY;COREA DEL SUD;32;8; - 
1;2022-11-24 17:00:00;PORTOGALLO;GHANA;24;16; - 
1;2022-11-23 11:00:00;MAROCCO;CROAZIA;20;10; - 
1;2022-11-22 20:00:00;FRANCIA;AUSTRALIA;13;3; - 
1;2022-11-22 17:00:00;MESSICO;POLONIA;21;23; - 
1;2022-11-22 14:00:00;DANIMARCA;TUNISIA;11;31; - 
1;2022-11-22 11:00:00;ARGENTINA;ARABIA SAUDITA;2;1; - 
1;2022-11-23 17:00:00;SPAGNA;COSTA RICA;28;8; - 
1;2022-11-24 20:00:00;BRASILE;SERBIA;5;27; - 
1;2022-11-21 14:00:00;INGHILTERRA;IRAN;18;19; - 
1;2022-11-21 17:00:00;SENEGAL;OLANDA;26;22; - 
1;2022-11-21 20:00:00;STATI UNITI;GALLES;29;14; - 
2;2022-11-25 11:00:00;GALLES;IRAN;14;19; - 
2;2022-11-26 11:00:00;TUNISIA;AUSTRALIA;31;3; - 
2;2022-11-27 11:00:00;GIAPPONE;COSTA RICA;17;9; - 
2;2022-11-27 20:00:00;SPAGNA;GERMANIA;28;15; - 
2;2022-11-27 17:00:00;CROAZIA;CANADA;10;7; - 
2;2022-11-27 14:00:00;BELGIO;MAROCCO;4;20; - 
2;2022-11-25 17:00:00;OLANDA;ECUADOR;22;12; - 
2;2022-11-26 14:00:00;POLONIA;ARABIA SAUDITA;23;1; - 
2;2022-11-26 20:00:00;ARGENTINA;MESSICO;2;21; - 
2;2022-11-25 20:00:00;INGHILTERRA;STATI UNITI;18;29; - 
2;2022-11-26 17:00:00;FRANCIA;DANIMARCA;13;11; - 
2;2022-11-25 14:00:00;QATAR;SENEGAL;25;26; - 
2;2022-11-28 11:00:00;CAMERUN;SERBIA;6;27; - 
2;2022-11-28 14:00:00;COREA DEL SUD;GHANA;8;16; - 
2;2022-11-28 17:00:00;BRASILE;SVIZZERA;5;30; - 
2;2022-11-28 20:00:00;PORTOGALLO;URUGUAY;24;32; - 
3;2022-11-29 16:00:00;OLANDA;QATAR;22;25; - 
3;2022-11-30 16:00:00;TUNISIA;FRANCIA;31;13; - 
3;2022-12-01 16:00:00;CROAZIA;QATAR;10;1; - 
3;2022-12-01 20:00:00;COSTA RICA;GERMANIA;9;15; - 
3;2022-12-01 20:00:00;GIAPPONE;SPAGNA;17;28; - 
3;2022-12-01 16:00:00;CANADA;MAROCCO;7;20; - 
3;2022-11-29 20:00:00;GALLES;INGHILTERRA;14;18; - 
3;2022-11-30 20:00:00;ARABIA SAUDITA;MESSICO;1;21; - 
3;2022-11-30 20:00:00;POLONIA;ARGENTINA;23;2; - 
3;2022-11-29 20:00:00;IRAN;STATI UNITI;19;29; - 
3;2022-11-30 16:00:00;AUSTRALIA;DANIMARCA;3;11; - 
3;2022-11-29 16:00:00;ECUADOR;SENEGAL;12;26; - 
3;2022-12-02 16:00:00;COREA DEL SUD;PORTOGALLO;8;24; - 
3;2022-12-02 16:00:00;GHANA;URUGUAY;16;32; - 
3;2022-12-02 20:00:00;CAMERUN;BRASILE;6;5; - 
3;2022-12-02 20:00:00;SERBIA;SVIZZERA;27;30; - 
4;2022-12-03 16:00:00;QATAR;QATAR;25;25; - 
4;2022-12-03 20:00:00;QATAR;QATAR;25;25; - 
4;2022-12-04 16:00:00;QATAR;QATAR;25;25; - 
4;2022-12-04 20:00:00;QATAR;QATAR;25;25; - 
4;2022-12-05 16:00:00;QATAR;QATAR;25;25; - 
4;2022-12-05 20:00:00;QATAR;QATAR;25;25; - 
4;2022-12-06 16:00:00;QATAR;QATAR;25;25; - 
4;2022-12-06 20:00:00;QATAR;QATAR;25;25; - 
5;2022-12-09 16:00:00;QATAR;QATAR;25;25; - 
5;2022-12-09 20:00:00;QATAR;QATAR;25;25; - 
5;2022-12-10 16:00:00;QATAR;QATAR;25;25; - 
5;2022-12-10 20:00:00;QATAR;QATAR;25;25; - 
6;2022-12-13 20:00:00;QATAR;QATAR;25;25; - 
6;2022-12-14 20:00:00;QATAR;QATAR;25;25; - 
7;2022-12-17 16:00:00;QATAR;QATAR;25;25; - 
7;2022-12-18 16:00:00;QATAR;QATAR;25;25; - 
